,0
a_Intercept_subj.11,1.1343343360960583
a_Intercept_subj.12,1.071893024182342
a_Intercept_subj.13,2.223043325106195
a_Intercept_subj.14,1.1116849182845734
a_Intercept_subj.15,1.6131022846499565
a_Intercept_subj.16,1.0490989589576982
a_Intercept_subj.17,1.149465569047752
a_Intercept_subj.18,1.0121778132648818
a_Intercept_subj.19,1.0571589120348424
a_Intercept_subj.20,1.1199643822443612
a_Intercept_subj.21,1.477774450170186
a_Intercept_subj.22,0.9908409842001544
a_Intercept_subj.23,1.3701902934130328
a_Intercept_subj.24,1.0001690769293874
a_Intercept_subj.25,1.1046933450276943
a_Intercept_subj.26,1.023668555600073
a_Intercept_subj.27,1.4170734586834708
a_Intercept_subj.28,1.1617495340108068
a_Intercept_subj.29,1.2130749995206862
