node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,0,71,207,-0.7331191676377073,207,1,Victim,group,246,1.2,unfair,0.0,0,-1.49180618299988,Zero,-3.0,1
wfpt.1,0,72,215,1.0671296664834369,215,1,Victim,alone,255,0.9,unfair,,1,1.26734938100026,Alone,,1
wfpt.1,0,73,216,0.9062408231998864,216,1,Victim,group,256,1.0,unfair,3.0,1,0.9428184550001791,Three,1.0,1
wfpt.1,0,74,220,1.7738408231998863,220,1,Victim,group,260,0.5,unfair,3.0,1,0.8277591629998821,Three,1.0,1
wfpt.1,0,75,221,-0.9126243847694206,221,1,Victim,group,261,1.1,unfair,1.0,1,0.663900784999896,One,-1.0,1
wfpt.1,0,76,222,-0.5553191676377073,222,1,Victim,group,262,1.3,unfair,0.0,1,1.68029501300043,Zero,-3.0,1
wfpt.1,0,77,228,1.5200761620747536,228,1,Victim,group,268,0.6,unfair,2.0,1,1.5934958309999299,Two,0.0,1
wfpt.1,0,78,231,1.1978737003535187,231,1,Victim,group,272,0.699999999999999,unfair,0.0,1,1.34199954999985,Zero,-3.0,1
wfpt.1,0,79,233,-1.164224384769421,233,1,Victim,group,274,0.699999999999999,unfair,1.0,1,1.4097690930002498,One,-1.0,1
wfpt.1,0,80,234,2.650646053226888,234,1,Victim,group,275,0.5,unfair,1.0,1,2.68114101800029,One,-1.0,1
wfpt.1,0,81,247,0.9817296664834367,247,1,Victim,alone,288,0.5,unfair,,1,0.9377156380000999,Alone,,1
wfpt.1,0,82,249,-1.1675191676377072,249,1,Victim,group,290,1.0,unfair,0.0,1,2.56252443099993,Zero,-3.0,1
wfpt.1,0,83,252,1.1124408231998864,252,1,Victim,group,293,0.5,unfair,3.0,1,0.7504338240000831,Three,1.0,1
wfpt.1,0,84,254,0.7476408231998863,254,1,Victim,group,295,1.0,unfair,3.0,1,1.759725635,Three,1.0,1
wfpt.1,0,85,257,0.7771044868957977,257,1,Victim,group,298,0.19999999999999898,unfair,4.0,1,1.76320734599994,Four,3.0,1
wfpt.1,0,86,259,2.2919044868957976,259,1,Victim,group,300,0.6,unfair,4.0,1,0.9872889120001669,Four,3.0,1
wfpt.1,0,87,263,2.4136761620747538,263,1,Victim,group,304,0.9,unfair,2.0,1,1.8265203169999,Two,0.0,1
wfpt.1,0,88,269,0.9119044868957977,269,1,Victim,group,310,0.699999999999999,unfair,4.0,1,1.1218242750001102,Four,3.0,1
wfpt.1,0,89,271,0.7273044868957979,271,1,Victim,group,312,0.30000000000000104,unfair,4.0,1,1.2398657399999098,Four,3.0,1
wfpt.1,0,90,272,1.7400408231998863,272,1,Victim,group,313,1.0,unfair,3.0,1,0.597113296999851,Three,1.0,1
wfpt.1,0,91,275,4.978846053226887,275,1,Victim,group,316,0.4,unfair,1.0,1,1.47073375700029,One,-1.0,1
wfpt.1,0,92,278,-2.405154373489327,278,1,Victim,alone,319,0.4,unfair,,1,0.8991938399999531,Alone,,1
wfpt.1,0,93,279,-0.7663191676377072,279,1,Victim,group,320,1.0,unfair,0.0,0,-3.6891861499998395,Zero,-3.0,1
wfpt.1,0,94,282,0.7890408231998864,282,1,Victim,group,323,0.800000000000001,unfair,3.0,1,0.887715303000277,Three,1.0,1
wfpt.1,0,95,283,1.2297044868957978,283,1,Victim,group,324,0.9,unfair,4.0,1,1.090620038,Four,3.0,1
wfpt.1,0,96,286,1.300673700353519,286,1,Victim,group,327,1.0,unfair,0.0,0,-1.24547463099998,Zero,-3.0,1
wfpt.1,0,97,288,-2.679424384769421,288,1,Victim,group,329,1.0,unfair,1.0,0,-1.1830902860001498,One,-1.0,1
wfpt.1,0,98,291,1.6280460532268874,291,1,Victim,group,332,0.699999999999999,unfair,1.0,1,1.471836446,One,-1.0,1
wfpt.1,0,99,293,-2.1661628044426786,293,1,Victim,group,334,0.9,unfair,2.0,1,0.958326677000059,Two,0.0,1
wfpt.1,0,100,295,1.1951044868957978,295,1,Victim,group,336,1.2,unfair,4.0,1,0.538199181999971,Four,3.0,1
wfpt.1,0,101,296,1.3559044868957977,296,1,Victim,group,337,0.9,unfair,4.0,1,2.6890161260003,Four,3.0,1
wfpt.1,0,102,298,3.067473700353519,298,1,Victim,group,339,0.0999999999999996,unfair,0.0,1,1.39225248100001,Zero,-3.0,1
wfpt.1,0,103,302,1.3441044868957976,302,1,Victim,group,343,0.6,unfair,4.0,1,1.0351591199996601,Four,3.0,1
wfpt.1,0,104,313,-1.5216243847694209,313,1,Victim,group,354,0.4,unfair,1.0,1,1.34915073599996,One,-1.0,1
wfpt.1,0,105,315,2.7956761620747543,315,1,Victim,group,356,1.3,unfair,2.0,1,0.9250662660001578,Two,0.0,1
