,0
a_Intercept_subj.13,0.99179934151513
a_Intercept_subj.14,1.0851784675702056
a_Intercept_subj.15,1.23163340284802
a_Intercept_subj.16,1.0799260892149265
a_Intercept_subj.17,0.93686294149501
a_Intercept_subj.18,1.207337184658377
a_Intercept_subj.19,1.0297577715716417
a_Intercept_subj.20,1.0655944951250473
a_Intercept_subj.21,1.3035910993906528
a_Intercept_subj.22,1.0906886550053374
a_Intercept_subj.23,1.0471225056684803
a_Intercept_subj.24,1.0208836575713989
a_Intercept_subj.25,1.1496476970632652
a_Intercept_subj.26,1.0667267735310173
a_Intercept_subj.27,1.0207071507602323
a_Intercept_subj.28,1.1720859041200713
a_Intercept_subj.29,0.9961743360494468
a_Intercept_subj.30,1.02103136261657
a_Intercept_subj.31,1.4356184847848057
